Código;CódigoAux;CódigoBarras;Nombre;Descatalogado;FechaA;FechaV;RedondeoUnitario;Multiproveedor;CODPROV;Proveedor;PrecioLista;Desc1;Desc2;Desc3;Desc4;PrecioCompra;PrecioVenta;PrecioVenta2;PrecioVenta3;PrecioVenta4;RecargoMínimo;Moneda;CuentaC;CuentaV;IVA;IVAEsp;Exento;NoGravado;ImpIntAlic;ImpIntMonto;Garantía;Ubicación;Clasificación;Subclasificación;Servicio;MateriaPrima;PermitirCaract;RequerirDetalle;ControlarStock;ControlarStockGrupo;*Imagen;Descrip;CantBulto;Unidad;StockI;StockA;StockM;StockI2;StockA2;StockM2;StockI3;StockA3;StockM3;StockI4;StockA4;StockM4;AlmPredet;Grupo;PrecioVFijoGrupo;RecargoFijoGrupo;FechaÚltimaActPrecioC;FechaÚltimaActPrecioV;FechaÚltimaActPrecioV2;FechaÚltimaActPrecioV3;FechaÚltimaActPrecioV4;CP1;CP2;CP3;CP4
A-718;;308535;EQUIPO PRODUCTOR DE CLORO L 10;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;38;DISTRIGAS;0;0;0;0;0;0;2491,7355;2491,7355;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-719;;981957;EQUIPO OSMOSIS INVERSA 2 MEMBRANAS;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;36;AQUAREP;0;0;0;0;0;0;7024793,388;7024793,388;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-72;;76;TAPA BLANCA CON PAPELITO AZUL;FALSO;03/06/2025;;FALSO;FALSO;21;ARO PLASTYC;0;0;0;0;0;0;101,6528;101,6528;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;03/04/2025 09:01:56 a.?m.;;;;;;;
A-720;;199493;EQUIPO OSMOSIS 4 X 40 200 LITROS HORA;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;36;AQUAREP;0;0;0;0;0;0;6280991,736;6280991,736;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-721;;568470;EQUIPO SOLDADOR TUBO OXIG 1/2 GARRAF 1 K;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;18;REGULADORES LIGA ESTABLECIMIENTO DEL OESTE SRL;0;0;0;0;0;0;450413,2231;450413,2231;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-722;;857887;ESCALERA ALUMINIO 5 ESCALONES 122 CM ROJ;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;24;DIGILIO DISTRIBUCIONES SA;0;0;0;0;0;0;140495,8678;140495,8678;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-723;;725222;ESCALERA ALUMINIO 4 ESCALONES DOBLE LADO;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;24;DIGILIO DISTRIBUCIONES SA;0;0;0;0;0;0;56198,3471;56198,3471;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-724;;365977;ESCALERA 5 ESCALONES ALUMINIO 109 CM;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;24;DIGILIO DISTRIBUCIONES SA;0;0;0;0;0;0;95041,3223;95041,3223;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-725;;535434;ESCALERA 7 ESCALONES FIBERGLASS AMARILLO;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;24;DIGILIO DISTRIBUCIONES SA;0;0;0;0;0;0;111570,2479;111570,2479;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-726;;991754;ESCALERA 8 ESCALONES FIBERGLASS AMARILLO;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;24;DIGILIO DISTRIBUCIONES SA;0;0;0;0;0;0;11239,6694;11239,6694;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-727;;574786;ESCALERA ALUMINIO 3 ESCALONES;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;24;DIGILIO DISTRIBUCIONES SA;0;0;0;0;0;0;50413,2231;50413,2231;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
